Year,Cargo RTMs (mil),Departures (000),Load Factor,Passenger Enplanements (000) - Scheduled,Scheduled ASMs (000),Scheduled RPMs (000)
1950,318,2457,0.780419048,19220,13125000,10243000
1951,381,2596,0.845597182,24851,15615000,13204000
1952,421,2737,0.815023474,27567,19170000,15624000
1953,444,2960,0.781805716,31646,23337000,18245000
1954,470,3002,0.765656341,35448,26922000,20613000
1955,574,3281,0.776226451,41709,31371000,24351000
1956,652,3503,0.781117457,46005,35366000,27625000
1957,710,3771,0.748838212,49466,41746000,31261000
1958,735,3629,0.73726711,53070,42724000,31499000
1959,855,3910,0.751409978,60296,48405000,36372000
1960,952,3853,0.744216775,62257,52220000,38863000
1961,1104,3750,0.710164566,63012,56087000,39831000
1962,1318,3660,0.68494866,67818,63888000,43760000
1963,1465,3788,0.697003668,77403,72255000,50362000
1964,1763,3955,0.726416969,88520,80524000,58494000
1965,2313,4198,0.724529735,102920,94787000,68676000
1966,2911,4374,0.763253685,118061,104669000,79889000
1967,3436,4946,0.738571429,142499,133700000,98747000
1968,4178,5348,0.682910751,162181,166871000,113958000
1969,4700,5378,0.607554957,171898,206434000,125420000
1970,4984,5120,0.617892663,169922,213160000,131710000
1971,5108,4999,0.612443172,173669,221503000,135658000
1972,5177,5046,0.672535677,191349,226614000,152406000
1973,5764,5135,0.661863355,202208,244699000,161957301
1974,5124.958533,4002.157,0.696590534,207458,233880000,162918594
1975,6160.22657,4776.886,0.53731619,205060.429,303006243,162810160
1976,6491.071559,4921,0.55444881,223320.082,322821526,178988011
1977,6919.776956,5044.977,0.55913713,240328.962,345566117,193218847
1978,7324.24788,5082.063,0.614998616,274715.341,368750719,226781182
1979,7836.741481,5499.527,0.629701696,316681.33,416037703,261979647
1980,7790.246109,5457.091,0.589991684,296900.647,432535103,255192114
1981,7792.452651,5306.975,0.585759999,285977.695,424897230,248887801
1982,7635.551824,5056.178,0.589939876,294102.788,440119206,259643870
1983,8011.139293,5080.381,0.60668699,318639.932,464537979,281829148
1984,8794.225436,5522.722,0.592086234,344679.519,515323339,305115855
1985,8429.42102,5918.625,0.614111218,382023.411,547788432,336403021
1986,9655.631923,6496.908,0.603431386,418948.431,607435847,366545855
1987,10629.48926,6647.398,0.623501126,447655.311,648675504,404449907
1988,12586.28092,6804.327,0.625443415,454613.016,676802328,423301559
1989,14913.92909,6797.328,0.632275807,453692.561,684375876,432714309
1990,16411.43336,7176.298,0.624409549,465557.509,733374893,457926286
1991,16149.89344,7041.047,0.626335805,452303.272,715199140,447954829
1992,17310.54414,7320.885,0.635721615,475105.184,752772435,478553708
1993,19082.93981,7547.621,0.63460164,488520.197,771640648,489684421
1994,21826.1316,7887.734,0.662197121,528848.581,784330936,519381688
1995,23386.35451,8425.718,0.669893516,547774.547,807077839,540656211
1996,24892.47958,8618.08,0.692950748,581237.168,835070900,578663005
1997,27647.33026,8534.446,0.703915227,594727.405,857232155,603418767
1998,27866.54531,8729.827,0.70710238,612882.45,873388765,617575274
1999,28984.16126,9061.642,0.709966944,635958.867,918418724,652046935
2000,30863.03574,9449.571,0.72392187,666149.095,956950287,692757241
2001,28121.55135,9120.339,0.700367983,622129.066,930511304,651700325
2002,30526.21031,9516.157,0.718144104,614277.284,894582236.2,642438958.3
2003,33540.74724,11192.147,0.734765594,647469.855,894602242.2,657322947.7
2004,37954.74218,11766.137,0.755146938,703692.019,971987060.1,733993052.6
2005,39307.18363,11884.482,0.776423018,738627.981,1003364379,779035199.4
2006,39759.70886,11552.931,0.792402103,744728.092,1006350726,797434431.9
2007,39862.61549,11686.092,0.799313999,769622.321,1037691278,829441165.6
2008,36811.65374,11144.162,0.795411321,743313.19,1021330029,812377467.2
2009,31662.01543,10382.64,0.803894779,703900.986,957104793.1,769411546.1
2010,36515.70133,10361.452,0.820524416,720495.998,972601012.3,798042877.2
2011,36999.30684,10335.855,0.820366027,730797.214,992672046,814354422.4
2012,36159.79361,10127.15,0.827696289,736700.552,994545695.1,823181781.3
2013,34804.26054,9979.387,0.831150423,743170.862,1011167471,840432271.4
2014,35606.31806,9803.127,0.83392056,762709.995,1034278265,862505910.3
2015,36194.6859,9740.787,0.837703963,798220.65,1077032953,902234773.2
2016,37015.81584,9878.785,0.834186864,824038.224,1119025630,933476480.2
2017,41108.48867,9899.028,0.835026895,849407.903,1154871244,964348549.3
2018,43759.95658,10166.948,0.837207797,889020.328,1208203118,1011517070
2019,42592.3411,10363.955,0.846469199,926737.964,1247052006,1055591112
