Year, DOMESTIC , LATIN AMERICA , ATLANTIC , PACIFIC , INTERNATIONAL , TOTAL 
2000," $98,899,811.00 "," $6,805,287.00 "," $13,019,963.00 "," $10,019,832.00 "," $1,503,327.00 "," $130,248,220.00 "
2001," $86,519,991.00 "," $6,533,737.00 "," $12,084,349.00 "," $8,793,081.00 "," $1,295,812.00 "," $115,226,970.00 "
2002," $79,287,478.00 "," $6,085,118.00 "," $11,074,476.00 "," $9,244,957.00 "," $1,432,599.00 "," $107,124,627.00 "
2003," $88,870,096.00 "," $6,401,207.00 "," $11,727,142.00 "," $8,976,179.00 "," $1,793,391.00 "," $117,768,014.00 "
2004," $100,902,510.00 "," $7,364,215.00 "," $13,634,690.00 "," $10,768,617.00 "," $1,990,252.00 "," $134,660,284.00 "
2005," $111,858,063.00 "," $8,619,055.00 "," $15,564,572.00 "," $12,617,779.00 "," $2,884,934.00 "," $151,544,403.00 "
2006," $120,906,925.00 "," $10,300,881.00 "," $17,752,080.00 "," $13,684,515.00 "," $2,887,401.00 "," $165,531,803.00 "
2007," $124,502,978.00 "," $11,803,838.00 "," $20,712,320.00 "," $14,346,428.00 "," $3,330,852.00 "," $174,696,416.00 "
2008," $129,728,330.00 "," $13,467,805.00 "," $23,454,895.00 "," $15,494,832.00 "," $3,941,471.00 "," $186,087,333.00 "
2009," $109,681,017.00 "," $11,321,114.00 "," $18,881,961.00 "," $11,914,386.00 "," $3,252,719.00 "," $155,051,198.00 "
2010," $119,073,502.00 "," $13,374,293.00 "," $21,972,460.00 "," $15,864,132.00 "," $4,393,008.00 "," $174,677,395.00 "
2011," $132,822,096.00 "," $15,269,628.00 "," $22,998,007.00 "," $17,440,816.00 "," $4,510,153.00 "," $193,040,699.00 "
2012," $135,830,212.00 "," $15,955,317.00 "," $22,677,396.00 "," $17,666,067.00 "," $3,976,258.00 "," $196,105,250.00 "
2013," $139,144,797.00 "," $17,383,000.00 "," $23,453,400.00 "," $17,024,791.00 "," $3,238,896.00 "," $200,244,884.00 "
2014," $145,871,919.00 "," $17,558,552.00 "," $24,347,579.00 "," $17,176,844.00 "," $2,758,993.00 "," $207,713,887.00 "
2015," $146,932,406.00 "," $16,245,543.00 "," $23,204,932.00 "," $16,374,502.00 "," $2,603,510.00 "," $205,360,893.00 "
2016," $151,107,327.00 "," $15,645,971.00 "," $23,414,848.00 "," $16,564,092.00 "," $2,563,096.00 "," $209,295,335.00 "
2017," $160,539,005.00 "," $16,165,159.00 "," $25,762,882.00 "," $16,879,029.00 "," $2,896,658.00 "," $222,242,732.00 "
2018," $171,445,345.00 "," $17,587,317.00 "," $28,671,787.00 "," $18,089,451.00 "," $3,966,516.00 "," $239,760,415.00 "
2019," $179,353,985.00 "," $18,061,127.00 "," $29,163,091.00 "," $17,463,848.00 "," $3,959,487.00 "," $248,001,537.00 "
2020," $69,200,438.00 "," $6,089,944.00 "," $10,474,692.00 "," $8,214,656.00 "," $3,436,449.00 "," $97,416,180.00 "
,,,,,,
Note: All numbers are for scheduled services.,,,,,,
